date,position,songname,artist,last week,peak position,weeks on chart
2000-01-22,91,Notorious B.I.G.,The Notorious B.I.G. Featuring Puff Daddy,88,82,7
2000-01-22,97,We Can t Be Friends,Deborah Cox With R.L.,80,8,20
2000-01-15,92,A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr.,75,75,3
2000-01-08,91,Left ,D Angelo Featuring Method Man And Redman,70,91,5
2000-01-01,7,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE &amp; Q-Tip",7,7,21
2000-01-01,85,Notorious B.I.G.,The Notorious B.I.G. Featuring Puff Daddy &amp; Lil' Kim,88,82,7
2000-01-01,92,Music Of My Heart,'N Sync &amp; Gloria Estefan,85,85,20
2000-01-01,93,A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. &amp; George Jones,--,93,3
1999-12-04,97,B-Please,Snoop Dogg Featuring Xzibit,96,77,9
1999-11-27,98,Step To This,Master P Featuring D.I.G.,88,88,3
1999-11-13,91,Lost In You,Garth Brooks as Chris Gaines,71,5,10
1999-09-04,99,Who Dat,JT Money Featuring Sole,98,5,20
1999-07-03,45,Back 2 Good,matchbox 20,40,24,28
1999-06-19,92,What d You Come Here For?,Trina,67,56,12
1999-05-22,84,Jigga What...,Jay-Z Featuring Big Jaz,84,84,3
1999-05-22,100,Girlfriend/Boyfriend,BLACKstreet With Janet,82,47,11
1999-04-17,89,Woof,Snoop Dogg Featuring Mystikal And Fiend,92,62,12
1998-11-28,70,If I Can t Have You,L.F.O. (Lyte Funky Ones) (Featuring Kayo),77,70,4
1998-11-28,100,The Street Mix,Mag 7,100,93,5
1998-11-21,94,Here We Go,Funkmaster Flex Presents Khadejia Featuring Product,94,72,14
1998-11-14,90,Can't We Try,Rockell [Duet With Collage],97,63,20
1998-11-07,100,Horse ,Cam Ron Featuring Mase,80,41,17
1998-10-17,99, 98 Thug Paradise,"Tragedy, Capone, Infinite",91,91,5
1998-10-03,71,Definition,Mos Def &amp; Kweli Are Black Star,60,60,10
1998-10-03,76,I Get Lonely,Janet Featuring BLACKstreet,67,3,20
1998-10-03,83,It's Alright,Memphis Bleek (&amp; Jay-Z),75,66,12
1998-08-15,92,Love For Free,Rell (Featuring Jay-Z),86,86,3
1998-08-15,94,Love The Way,EOL,93,79,6
1998-08-15,100,"Money, Power &amp; Respect",The Lox [Featuring DMX &amp; Lil' Kim],96,36,20
1998-08-08,96,"Money, Power ",The Lox [Featuring DMX,85,17,20
1998-08-08,99,What The World Needs Now Is Love,Dionne Warwick And The Hip-Hop Nation United,87,87,2
1998-08-01,46,Make Em  Say Uhh!,"Master P Feat. Fiend, Silkk The Shocker, Mia X",40,16,27
1998-07-11,98,The Party Continues,JD Featuring Da Brat,90,29,19
1998-06-20,49,Deja Vu [Uptown Baby],Lord Tariq,45,13,28
1998-06-20,64,Love You Down,INOJ/LATHUN,61,25,20
1998-06-13,84,The City Is Mine,Jay-Z  Featuring BLACKstreet,84,52,20
1998-05-09,54,Swing My Way,K.P.,52,35,20
1998-05-02,100,Am I Dreaming,Ol Skool [Featuring Keith Sweat,99,92,13
1998-04-25,100,Just Clownin ,WC From Westside Connection,98,98,20
1998-04-11,82,Am I Dreaming,Ol Skool [Featuring Keith Sweat &amp; Xscape],76,31,13
1998-04-04,24,Make Em' Say Uhh!,"Master P Feat. Fiend, Silkk The Shocker, Mia X &amp; Mystikal",25,22,27
1998-04-04,35,Been Around The World,Puff Daddy &amp; The Family (Feat. The Notorious B.I.G. &amp; Mase),33,2,21
1998-04-04,89,What If I Said,Anita Cochran (Duet With Steve Wariner),80,59,15
1998-03-21,69,At The Beginning,Richard Marx &amp; Donna Lewis,63,45,20
1998-03-14,100,"Young, Sad And Blue",Lysette,95,75,10
1998-02-28,61,Sock It 2 Me,"Missy ""Misdemeanor"" Elliott Featuring Da Brat",55,12,20
1998-01-24,99,All Of My Days,Changing Faces (Featuring Jay-Z),98,65,12
